"Skeleton_Metabolite","COPD.0001.Lower.R.05.12.2015","SmNV.0004.Lower.L.06.15.2015","COPD.0002.Lower.L.06.16.2015","COPD.0002.Lower.R.06.16.2015","SmNV.0005.Lower.L.06.17.2015","COPD.0003.Lower.L.06.18.2015","SmNV.0008.Lower.L.06.22.2015","SmNV.0006.Lower.R.06.23.2015","COPD.0007.Lower.L.06.29.2015","SmNV.0009.Lower.L.07.08.2015","SmNV.0012.Lower.R.07.27.2015","SmNV.0013.Lower.R.01.13.2016","SmNV.0014.Lower.R.03.30.2016","SmNV.0016.Lower.L.04.04.2016","COPD.0021.Lower.R.04.14.2016","SmNV.0023.Lower.R.05.31.2016","COPD.0026.Lower.R.06.23.2016","SmNV.0027.Lower.L.08.30.2016","COPD.0030.Lower.R.09.15.2016","SmNV.0032.Lower.R.09.29.2016","COPD.0035.Lower.R.10.13.2016","SmNV.0038.Lower.L.10.26.2016","SmNV.0039.Lower.R.11.10.2016","COPD.0041.Lower.L.11.22.2016","COPD.0041.Lower.R.11.22.2016","SmNV.0043.Lower.R.12.07.2016","SmNV.0044.Lower.R.12.14.2016","COPD.0036.2.Lower.R.12.20.2016","SmNV.0047.Lower.R.02.01.2017","COPD.0050.Lower.R.03.15.2017","COPD.0049.Lower.R.03.21.2017","SmNV.0052.Lower.R.07.06.2017","COPD.0051.Lower.R.08.21.2017","SmNV.0055.Lower.R.08.22.2017","COPD.0056.Lower.R.10.23.2017","SmNV.0060.Lower.R.11.08.2017","SmNV.0064.Lower.R.11.21.2017","SmNV.0067.Lower.R.11.29.2017","COPD.0068.Lower.R.12.12.2017","COPD.0073.Lower.R.12.19.2017","COPD.0079.Lower.R.01.16.2018","SmNV.0085.Lower.R.01.30.2018","SmNV.0091.Lower.R.05.01.2018","SmNV.0093.Lower.R.05.14.2018","SmNV.0098.Lower.RML.06.12.2018","SmNV.0099.Lower.R.06.19.2018","SmNV.0105.Lower.R.07.11.2018","COPD.0101.Lower.R.07.17.2018","COPD.0102.Lower.R.07.24.2018","SmNV.0107.Lower.R.08.01.2018","COPD.0111.Lower.R.08.29.2018","COPD.0115.Lower.R.10.03.2018","COPD.0116.Lower.R.10.16.2018","COPD.0117.Lower.R.10.23.2018","COPD.0121.Lower.R.11.14.2018","COPD.0122.Lower.R.12.26.2018","COPD.0035.Lower.L.10.13.2016","COPD.0066.Lower.R.12.11.2017","COPD.0001.BKG.05.12.2015","SmNV.0004.BKG.06.15.2015","SmNV.0005.BKG.06.17.2015","COPD.0003.BKG.06.18.2015","SmNV.0008.BKG.06.22.2015","COPD.0007.BKG.06.29.2015","SmNV.0013.BKG.01.13.2016","COPD.0021.BKG.04.14.2016","COPD.0026.BKG.06.23.2016","COPD.0030.BKG.09.15.2016","COPD.0001.Upper.05.12.2015","SmNV.0012.Upper.07.27.2015","SmNV.0013.Upper.01.13.2016","SmNV.0044.Upper.12.14.2016","SmNV.0047.Upper.02.01.2017","COPD.0066.Upper.12.11.2017","COPD.0049.Upper.03.21.2017","COPD.0117.Upper.10.23.2018","KEGG"
"Label","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","BKG","UA","UA","UA","UA","UA","UA","UA","UA","KEGG"
"vanillylmandelic acid","6.89086796622753","0.130361116125706","1.31191559438412","0","0","0","0.156421299325835","0.163518799668232","0.315463105971499","0","0","0","0","2.40167875289695","2.93678514942146","0","0.239071909672169","0","0.993320400335082","0.0609693562631164","0.626677222181309","0.48188756572578","0.0910252700617283","0","0.129545956938856","0.0461602603730642","0.0319631256398522","0","0","2.03931114312408","0","0","0.334447304616028","0","0","0.157734252893369","0","0.169599365909971","0.187391803753817","0","0","0","0","0","0","0","0","0","0.403389400994646","0.0339102395734954","0.568497464706294","0","0","0","0","0","3.55978807972059","0","0","0","0","0","0","0","0","0","0","0","9.25388746716512","0.153989431142458","0","1.53273481459372","0","0.20348320597121","0.443523094514086","0","C05584"
"l-carvone","0","0","0","0","0","0","0","0","0","0","0","0.0403313084599274","0","0","0","0.0290569507372245","0","0","0.0455851446879179","0","0.0259530647814026","0","0","0","0","0","0","2.08583990297149","0","0.0178404587776668","0.0545080160623169","0","0.033758149134775","0","0.076588682376682","0.054058929564268","0.038601949542723","0","0.0330917618105259","0","0.044397591497727","0","0","0","0.0634012142062519","0","0","0.0476950742619004","0","0","0.105104306500149","0.0404911776621059","0","0.03620298835532","0","0.0369099285849976","0.0308818038744925","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0321376463197302","0","0","0","0","0","C01767"
"thiosulfuric acid","0.835288429994647","0","0","1.80000883704489","0","1.78967058014797","0","1.00042379731964","0","1.13890739435177","0","0.935377792098255","2.1880108421942","0","1.28293681844668","0","0","0","0","0","0","0","0","1.41621399539258","0","0","1.14047498855932","0","0","0.659082122491059","0","0","0.809675430535221","0","0","0","0","1.00265880100594","0","0","0","1.53490566291325","1.28934842211205","0","0","1.13217089551883","0","0","0","0","0","0","0","0","0","0","0","1.51400347049017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.829668735285","0","0","0","C05529"
"arachidonyl trifluoromethyl ketone","0","6.62811366742542","1.58172511572218","1.64219644692409","4.06589591337131","3.30283630849699","1.0179626584016","1.42142047976468","3.44083553207361","3.61222365716122","1.59005804214391","1.87227736657043","1.36933540424891","1.12574918841609","0.746952589245704","7.13342157197463","10.9940245730133","0.603335871333938","0.878428897381197","9.46412218988848","1.56566666444415","0.591800931472525","0.558868950275699","0","0.872780855398079","0.938804450662371","0.574999744255117","0.844100866273944","2.41715661470231","0.982773329272078","1.02095319419892","1.38026441826928","3.47753965815436","1.74253566328332","1.25820927356786","6.67507800503362","1.47894882377641","1.68234381665536","1.81044139990022","1.4404810029058","1.90714143283126","0","3.89046559770407","2.96695007961749","2.17184889248135","2.60689804548584","0.933181783022354","2.190116995217","2.37221370315101","3.02025234720107","2.3533598525044","1.27866842686655","0.763865221313705","2.05518322431848","1.74701182931705","3.40782093231755","0.924010665005021","5.65664028322384","5.71262901542386","0.989385950942694","0.953403095071472","0","0","0","2.2431070277255","1.02000130393988","0","1.63094943153597","0.95239279782852","0","1.55960114827357","0.152283635128056","0.798184689032269","0.6894845282737","0","0.63141818871033","C01397"
"pgf1.alpha.","0","7.09247688776561","2.12268288380744","1.82439594542853","3.85425196711683","3.66186295931884","1.63732671717728","1.454247461063","3.49998675911602","3.17859145937792","1.8490966070998","1.98554285069297","1.33076288065734","1.00228694963636","1.00054342803705","5.91588419595234","12.2939605967986","0.579452172358002","1.05132858582603","7.70273427759009","2.53896106402697","1.10317587520886","0.738199569070005","0","1.29698261112775","1.28067591030663","0.883968205796202","1.31304842641629","2.37892545389454","1.15879169863928","0.975399760040799","1.49471935383136","3.59742513780333","1.92938439568201","1.63010404300673","6.58847466017192","2.4197079714321","1.38081372522458","1.891471408872","1.50782806785593","2.31525221611423","0.94269205692574","3.38517690335967","4.87724882474435","2.58916187735173","3.45457749701182","0","2.65815271199282","3.18366873458158","2.78827377605588","2.34747702297603","1.27486922830003","0","2.56797262723457","2.9657761841835","3.53493588481459","1.62586451592196","7.69801200040944","4.46906566702461","1.17332471015294","0.992140190823279","0","0","0","1.55003490255522","1.26937980650666","0","1.82524428364997","0","0","1.80908218442558","0","0.750629220798777","0.931397555011196","0","0.650750664280481","C06475"
"butanedioic acid, methylene-","0.458941243503634","0.349732148100459","0.373386924200556","0","0.401539275526928","0","0","0.366520585739555","1.2956079797996","0.284291341383748","0.282580066111921","0.334124960908255","0","0","0.670218374538694","0.199920240165723","0.431372647503478","0.237113881153503","0.292019384800787","0.259560143200357","0.647972359280261","0.281038932012374","0","0","0.337191446718835","0.260377487859984","0","0.249230938861017","0.274092850772191","1.40063537577149","1.81511910872256","0","0.45110519134991","0.497143849944708","0.256402821390515","0.312956453725604","0.224069450891344","0.700919884026195","0.848338326412808","0.475959009237298","0.745422930512096","0","0","0.458189507983592","0.28577142091642","0.235956127347001","0.331628644555519","0.309317703922893","0.200078135723864","0.251791538832663","0.226975270547966","0.21454638919055","0","0.279954954140712","0.541132472743708","0.272667113401846","0.69223470974389","0.28390656110237","0","0","0","0","0","0","0","0","0","0","0.228614049292016","0","0.190838109158044","0","0","0","0","0","C00490"
"n-acetyl-d-glucosamine","0","0","0","0.370443030517261","0.854569155423822","3.03288771504549","0.985649282464123","4.75040251178835","0","8.89437009919646","0","0","1.06602779148854","0.449587143310123","0","0.160461277708234","0.375296965800589","0.698792445815563","0.303177769939597","1.04021812415129","0","0.185638909889969","7.1332561728395","0.569030535135214","0.380830275432158","0","0","0","0","0.0968942298398788","0","3.00193581214205","0.231592469310395","0","0","11.1059006298977","0","0","1.00348862795588","5.84436585837962","11.0395611658","0.403223508603101","9.37785751088543","0.377662397505153","0.741954961374107","9.5659924972234","0","0","0","9.47396657036039","1.0957978381611","2.03470721004415","0","0","1.3019936503037","4.48854667025724","0","0.419394952298524","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","C20328"
"quinone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.114750278698892","0.069768429341805","0","0","0","0.10678872485922","0.061232941561598","0","0.10234922112941","0","0.0395677106824665","0","0.0862815479135307","0","0","0","0.102107691980987","0","0.0361291869038757","0","0.444697030946073","0","0","0","0.0824617645940774","0","0","0","0","0.055221427973274","0","0","0","0","0","0","0","0.0695659865873314","0","0","0","0","0","0","1.02099775829365","0.431729924253548","0","0","0","0","0.0800188845089451","0.295977660244621","0.362775897951382","0.17715272389863","0","0","0","C00472"
"ethanol, 2,2'-oxybis-","0.20260372602172","0","0.183891416467406","0","0.162460842247456","0","0.420538418225259","0","0","0","0","0.515139166611385","1.1759012155639","1.4119724573158","0.476534865007353","0","0.331695103391814","0.226621958325439","0","0","3.28573409922183","0.472085287574164","1.45369888117283","0.338777127261522","3.04797441678824","1.40643036535613","0.973306662011766","1.82265284745575","0.762421959348448","0.740403777735843","0.655081670239425","0.530492866953085","3.43700966014181","1.03749034449888","0.811852291908304","9.53262638677793","1.72912145124261","0.75284980682534","2.00548040023442","1.92600523187217","1.30336048801582","1.3741522564829","1.94813699500511","1.42178918049378","1.86658874830362","1.38185271868401","1.72833992875975","0.633938782694741","0.641806835819949","2.21814767831097","0.489926899561651","0.326942259049577","0","0.732980365645121","1.14005985911611","0.857762858771144","2.05077414232308","11.7481521274161","0","0.500749095753142","0","0","0","0","0","0","0","0.43285962244134","0","0","0","0.388988566641455","0","0","0","0","C14689"
"syringic acid","6.89086796622753","0.130361116125706","1.31191559438412","0","0","0","0.156421299325835","0.163518799668232","0.315463105971499","0","0","0","0","2.40167875289695","2.93678514942146","0","0.239071909672169","0","0.993320400335082","0.0609693562631164","0.626677222181309","0.48188756572578","0.0910252700617283","0","0.129545956938856","0.0461602603730642","0.0319631256398522","0","0","2.03931114312408","0","0","0.334447304616028","0","0","0.157734252893369","0","0.169599365909971","0.187391803753817","0","0","0","0","0","0","0","0","0","0.403389400994646","0.0339102395734954","0.568497464706294","0","0","0","0","0","3.55978807972059","0","0","0","0","0","0","0","0","0","0","0","9.25388746716512","0.153989431142458","0","1.53273481459372","0","0.20348320597121","0.443523094514086","0","C10833"
"d-tagatose","0","2.41678813962797","3.11737483029195","0.756766015758821","6.30177496595446","11.998900232987","4.48522269232052","5.00997290475591","0.49361046611141","34.2239156750413","0","2.63623941388132","2.9246264411473","2.5973351962493","0.705789804360094","1.4922400155766","1.42764823919825","14.1991452532553","2.69190250727729","18.4776552515165","0.59581060959908","6.46573092010626","2.97383041637287","7.49632279745821","3.12119930404881","0","0","0.0950498015911506","2.11357252789895","3.03108898247998","2.15448282503318","7.34964368796117","1.02801883484119","0.1795817146016","0","23.3920784524504","0","0.89808758087039","3.40196345282421","3.55561447479181","12.4042857699484","1.06475608071866","12.8108056422756","0.163556726939435","4.85913011954361","18.0218137990481","0","2.39223471555334","2.67261483929157","27.8743052106974","2.25490772632689","1.92468966681284","3.69653029370068","0","0.22498561338503","4.73930134030301","0.555758390354526","4.23240674797874","0","0","0","0","0","0","0","0","0","0","0","0","0.533974692321026","0","0.473538307535878","2.44598190638852","0.762089704943427","0","C00795"
