"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"M00001.Glycolysis..Embden.Meyerhof.pathway...glucose....pyruvate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00002.Glycolysis..core.module.involving.three.carbon.compounds"," 0"," 6"," 0"," 2"," 0"," 4"," 0"," 0"," 2"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 3"," 0","20"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 4"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"," 1"," 5"," 0","40"," 0"," 0","39"," 2"," 0"," 9"," 0","39"," 0"
"M00003.Gluconeogenesis..oxaloacetate....fructose.6P","     25","   1867","     12","      2","     16","    655","      6","     22","   2172","   1002","     84","     35","      8","      5","     10","      3","      1","     16","      7","      2","      0","     30","      1","     20","     15","  24824","     10","     75","   4688","      5","   8729","      4","   9227","      9","   9608","      4","      0","     68","    234","     60","     15","      3","      6","    508","     19","     28","     46","      7","      8","      5","     43","    246","     66","     17","     26","      2","    492","      7","   1471","      6"," 305657","      0","      7","1531050","     11","      3"," 130192","      6","   5934","      1"
"M00004.Pentose.phosphate.pathway..Pentose.phosphate.cycle.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00005.PRPP.biosynthesis..ribose.5P....PRPP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00006.Pentose.phosphate.pathway..oxidative.phase..glucose.6P....ribulose.5P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00007.Pentose.phosphate.pathway..non.oxidative.phase..fructose.6P....ribose.5P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00008.Entner.Doudoroff.pathway..glucose.6P....glyceraldehyde.3P...pyruvate","   25","  447","    0","    0","    6","  194","    0","    1","   64","    9","    4","    4","    2","    1","   16","    2","    0","    4","    0","    0","    0","    2","    0","    9","    0","  152","    1","    9","  668","    0","  584","    0","  380","    2","  183","    2","    0","    1","   60","   17","    1","    0","    3","  138","    0","    7","   10","    2","   11","    4","    7","   96","    1","   13","    0","    0","    8","    3","  211","    0","13955","    0","    5","52684","    2","    2"," 1021","    2","  984","    0"
"M00009.Citrate.cycle..TCA.cycle..Krebs.cycle.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
