"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"M00001.Glycolysis..Embden.Meyerhof.pathway...glucose....pyruvate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00002.Glycolysis..core.module.involving.three.carbon.compounds"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 2"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","42"," 0"," 0","11","64"," 0","13"," 0","15"," 0"," 0"," 0"," 0"," 1"," 8"," 1"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"M00003.Gluconeogenesis..oxaloacetate....fructose.6P","   91","  801","   45","  307","   58","  177","   32"," 1336","43077","46260","  106","   34","   56","    2","   20","    2","    8","   11","   29","    1","    0","  123","   21","   37","  115"," 1452","    2","  133","   21","    0"," 1968","    2","  235","    1","20980","  710","    6","  480","  454","    0","   46","  140","  153","  198","   45","   16","  155","   31","   34","   11","    7","  504","   26","    9"," 1939","    6","12918","   13"," 1626","    8","  112","   19","    0","  966","  457","    0","  134","   12","   26","    0"
"M00004.Pentose.phosphate.pathway..Pentose.phosphate.cycle.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00005.PRPP.biosynthesis..ribose.5P....PRPP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00006.Pentose.phosphate.pathway..oxidative.phase..glucose.6P....ribulose.5P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00007.Pentose.phosphate.pathway..non.oxidative.phase..fructose.6P....ribose.5P","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"M00008.Entner.Doudoroff.pathway..glucose.6P....glyceraldehyde.3P...pyruvate"," 57","  0"," 69","  0","  1"," 90"," 68","  0","134","225","  0","  0","  0","  0","  0","  0"," 14","  2","  1","  0","  0","  0","  1","  0","  1","  0","  0","  8","  0","  0","108","  0"," 53","  2","379"," 98","  0","  0","357","  0"," 23"," 13","  2","  2","  2","  0"," 30","  0","  6","  0","  0","134","  0","  0"," 70","  0","  4","  0"," 61","  0","218","  2","  0","118","  2","  0","  1","  0","218","  0"
"M00009.Citrate.cycle..TCA.cycle..Krebs.cycle.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
