"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL","UA","BAL","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","UA","BAL","UA","BAL","BAL","UA","BAL","BAL","UA","BAL","UA","BAL"
"K00001..E1.1.1.1..adh..alcohol.dehydrogenase..EC.1.1.1.1..","   67","  553","  306","   21","   86","  358","   14"," 1341","12355","16904","  159","    8","    3","    4","    2","    6","   14","    8","   12","    0","    2","    7","    4","    6","   14"," 7223","    5","   20","    5","    0"," 1777","    0","   67","    6"," 4302","    0","    0"," 1107","  286","    0","  415","    2","   10","  324","   26","  135","  110","   13","   15","   21","    3","  381","    3","    8","  624","    5","11641","    4","  488","    4","  170","    8","    0","  449","   87","    2","  199","   16","   11","    4"
"K00002..AKR1A1..adh..alcohol.dehydrogenase..NADP....EC.1.1.1.2.."," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 2"," 0"," 0"," 1"," 0"," 1"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 2"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0","42"," 0"," 0","11","64"," 0","13"," 0","15"," 0"," 0"," 0"," 0"," 1"," 8"," 1"," 0"," 0"," 0"," 0"," 6"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"K00016..LDH..ldh..L.lactate.dehydrogenase..EC.1.1.1.27..","   85"," 1276","    4","  427","   24","   70","   72"," 1987","62300","70626","  391","  109","   44","   12","   19","   30","   11","   41","   14","    4","    4","    1","   25","   67","  252"," 5377","    0","  198","   16","    2","10067","    8","  362","    8","50342","  128","    4","  842","  206","    7","  284","   79","   13","  125","  109","   24","  305","  100","   87","   23","   14","  203","   33","   20"," 4930","   22","34625","   26","  958","   12"," 1150","   46","    5"," 8179","  499","   10"," 1666","   21","   24","    1"
"K00114..exaA..alcohol.dehydrogenase..cytochrome.c...EC.1.1.2.8.","  2"," 26"," 66"," 71"," 73"," 61","  8"," 13"," 22"," 13","  2","  0","  7","  0","  4","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  2"," 26","  0","  0"," 35","  0","188","  0","100","  3","  0","  0","111","  0","185","181","  2","162","  2","  0","  1","  1","  2","  0","  2","334","  0","  0","  8","  0","  0","  0","  0","  0"," 44","  0","  0","  0","  0","  0"," 60","  1"," 99","  0"
"K00121..frmA..ADH5..adhC..S..hydroxymethyl.glutathione.dehydrogenase...alcohol.dehydrogenase..EC.1.1.1.284.1.1.1.1.."," 89","110"," 42","357","156","  1"," 89"," 79","544","774","  2","  1","189","  6"," 19","  0"," 40","  5","  7","  1","  3"," 25","  2","  0","  4","259","  6"," 96","  1","  0","287","  6","173","  2","111"," 45","  0","388","275","  2"," 14","161","438","806"," 11","311"," 30","  0"," 60","  2","  1","558","  2","  0","226","  0"," 63","  0","548","  4","149","  0","  7","128"," 32","  0","598","  5"," 44","  0"
"K00128..ALDH..aldehyde.dehydrogenase..NAD....EC.1.2.1.3.","  129","  433","  371","  431","  105","  389","  112","  504"," 8693","53970","  118","   80","  132","   10","   21","   58","   37","   30","   41","   19","   10","  515","   27","   24","   59"," 1080","    8","  219","   46","   32"," 1652","   68","  533","    8","85587","  394","    0","  612","  522","    5","   77","   33","  289","  886","  175","   41","  539","   63","  113","   42","   12"," 1374","   57","   36","17246","   36","17126","   35","  782","   14","  491","   38","   21"," 3864","  233","   17"," 2837","   27","  220","   13"
"K00129..ALDH3..aldehyde.dehydrogenase..NAD.P.....EC.1.2.1.5.","  0","  0","  0","  2","  0","  0","  0","  0"," 13","  0","  0","  0","  0","  1","  0","  2","  0","  1","  0","  0","  0"," 11","  0","  0","  0","  0","  0","  0","  0","  2","  0","  0"," 32","  0","  0","  0","  0","226","  0","  0","  0","  0","  0"," 16","  0","  0","  0","  0","  5","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  0","  0","  0","  1","  0","  0","  0","  7","  0","  0","  0"
"K00131..gapN..glyceraldehyde.3.phosphate.dehydrogenase..NADP....EC.1.2.1.9.","    0"," 1640","    0","   21","    0","    0","   10","  818","48217","53706","  239","   49","   52","   14","   33","   45","   16","   29","   12","    0","    1","    2","   16","  114","  395","  366","    2","  121","   16","    0","  287","    0","   12","    2","16818","   16","    4","   93","    0","    0","   17","    0","   14","   12","   85","   18","  591","   46","   33","    6","    4","    0","   49","   32"," 2705","   33","77626","   33","    7","    0","   16","   30","    0","   45","   63","    0","   10","   18","    7","    1"
"K00134..GAPDH..gapA..glyceraldehyde.3.phosphate.dehydrogenase..EC.1.2.1.12..","   632","  7241","  1729","  1698","  1815","  2840","   660","  8755","307469","331605","  2162","   485","   445","    25","   154","   214","   119","   174","    96","    16","    21","  1257","    97","   291","  1939","  7207","    40","  1835","   203","    34"," 54399","    51","  1714","     8","252898","  1703","    50","  5591","  2446","    20","  1220","  1467","  2262","  2882","   623","  1306","  2979","   333","   229","    80","    82","  4302","   271","    96"," 25565","   105","168953","   219","  9696","    31","  4691","   180","    83"," 43040","  3033","    36","  8470","   276","   279","     6"
