"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80"
"Sample_Type_IS","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BKG","UA","BAL","BAL","BKG","UA","BAL","BKG","UA","BAL","BKG","UA","BAL","BKG","UA","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BAL","BKG","UA","BAL","BKG","UA","BAL","BAL","BKG","UA","BAL","BAL","BKG","UA","BAL","BKG","UA","BAL"
"map00010.Glycolysis...Gluconeogenesis","   4212","  35955","  10735","  13947","   7598","  12007","   5023","  52763","2242294","2329711","   9615","   2795","   4280","    282","   1147","   1326","    843","   1014","    944","    179","    147","   8472","    767","   1656","   9239","  72728","  72634","    290","   7974","   9974","   1205","    249"," 319856"," 319750","    355","  26159","  15479","    231","1423328","1437125","  12091","    336","  24424","  20435","    156","  10437","  12949","  10264","  19829","   3440","   9684","  15725","   2534","   2210","    544","    553","  30895","   1933","    657"," 163857","    671","1080602","   1154","  91560","  91165","    310","  52540","  37120","   1081","    412"," 275171"," 265153","  10897","    206","  76939","  76128","   1311","  14670","   8317","    115"
"map00071.Fatty.acid.degradation","  2479","  7497","  3933","  6241","  1567","  3902","  1815","  8206","106518","159949","   467","   401","  2048","    85","   246","   214","   305","   100","   243","    61","    36","  4759","    78","   107","   370"," 20203"," 20177","    88","  1424","  4528","   116","    54"," 39414"," 39372","    98"," 10013","  4049","    56","150575","146371","  4208","    18","  4758","  8424","    27","  5265","  4698","  3819","  9289","   370","  2749","  1493","   208","   724","   115","    63"," 13379","   140","    81"," 24779","   110"," 51062","   120"," 18420"," 18401","   108"," 14250","  8225","   110","   104"," 22742"," 19362","  1138","    45"," 11451"," 11355","   322","  5918","  3288","    42"
"map00350.Tyrosine.metabolism"," 1333"," 4683"," 2247"," 3556"," 2595"," 1943","  797"," 4488","71564","81504","  332","  203","  968","   57","  136","  139","  133","   57","  132","   28","   25"," 1582","   33","   65","  310","18017","17997","   65"," 1010"," 3501","   48","   17","22138","22099","   25"," 6623"," 3901","   27","54620","50177"," 2778","   25"," 3888"," 5675","   15"," 3600"," 3421"," 2090"," 5213","  170"," 2822","  630","  111","  444","   53","   29"," 7856","   57","   37"," 5249","   53","33794","   54","18167","18147","   76","10118"," 4992","   57","   59","10151"," 7400","  871","   20"," 5133"," 5098","  175"," 4089"," 1827","   23"
"map00620.Pyruvate.metabolism","   4390","  27837","  10384","  15326","   6899","   9570","   5768","  48580","2238008","2419007","   5516","   2615","   4326","    241","   1126","   1396","    794","    922","    846","    189","     93","   7269","    705","   1595","   5669","  62315","  62209","    249","   5127","  12223","    980","    159"," 198697"," 198609","    270","  26081","  15401","    254","1289588","1297623","  13536","    367","  16346","  20604","    124","  12304","  13625","   8038","  22760","   2779","  12451","  11996","   2547","   2505","    469","    563","  31193","   1681","    663"," 161238","    590","1033737","    942","  85195","  84826","    378","  46941","  29444","   1036","    278"," 158596"," 146187","   9904","    155","  53405","  52709","   1237","  16725","   9374","     92"
"map00625.Chloroalkane.and.chloroalkene.degradation","   391","  1706","  1502","  1348","   639","  1443","   472","  3392"," 59405","108012","   386","   176","   504","    33","    74","   103","   104","    53","    96","    24","    17","  1113","    42","    55","   280"," 16535"," 16528","    25","   479","  1618","    81","    37"," 19229"," 19214","    83","  2904","  1769","    22","117764","119050","  1007","     4","  2431","  2277","    12","   928","  1433","  1089","  2997","   267","   658","   929","   134","   320","    86","    26","  3309","    82","    64"," 19434","    57"," 45493","    72","  4152","  4144","    36","  4916","  3381","    69","    55","  8784","  7976","   649","    21","  5121","  5048","    87","  1194","   742","    25"
"map00626.Naphthalene.degradation","  192"," 1190","  836"," 1087","  544","  579","  224"," 2559","50415","53601","  269","  115","  329","   24","   36","   66","   60","   22","   49","   11","   10","  493","   15","   31","  202","15484","15475","   12","  286"," 1192","   35","    4","17383","17368","   13"," 1463","  863","   13","33154","33015","  330","    2"," 1982"," 1702","    8","  597"," 1027","  743"," 2012","   86","  667","  370","   69","  171","   44","    9"," 1080","   20","   24"," 2091","   17","28280","   36"," 2899"," 2891","   22"," 3906"," 2806","   32","   34"," 4064"," 3792","  355","    4"," 2480"," 2454","   59","  887","  214","   12"
"map00830.Retinol.metabolism","  174"," 1066","  695","  807","  307","  491","  145"," 1715","32691","37491","  178","   59","  224","   20","   22","   26","   58","   29","   30","    3","    6","  288","    8","   11","   74","11186","11180","   12","  168","  527","   25","    0","16184","16171","   12","  957","  506","   11","11887","11010","  177","    0"," 1554"," 1274","    7","  494","  852","  475"," 1340","   58","  602","  191","   32","  111","   37","    8"," 1049","   10","   19"," 1669","   15","16575","   31"," 2231"," 2225","    9"," 2816"," 2192","   14","    7"," 1982"," 1849","  211","    2"," 1435"," 1424","   39","  531","  176","    6"
"map00980.Metabolism.of.xenobiotics.by.cytochrome.P450","  268"," 2108"," 1051"," 1210","  486","  997","  311"," 1920","32654","37060","  184","   86","  325","   20","   37","   35","   68","   20","   41","    9","    9","  583","    8","   11","   75","11432","11424","   22","  322","  967","   25","    4","16437","16423","   13"," 1949","  865","   18","12225","11008","  666","    7"," 2127"," 2268","    8"," 1116"," 1802","  672"," 1779","   61"," 1430","  211","   34","  182","   37","    9"," 1650","   11","   20"," 1793","   18","16701","   31"," 2811"," 2805","   20"," 3434"," 2297","   16","   16"," 2570"," 1690","  295","    3"," 1687"," 1674","   44","  881","  319","    7"
"map00982.Drug.metabolism...cytochrome.P450","  273"," 2169"," 1089"," 1207","  588"," 1009","  321"," 2068","32654","37094","  184","   87","  325","   32","   38","   35","   69","   20","   41","   11","    9","  597","    8","   11","   75","11442","11434","   22","  351","  967","   25","    4","16476","16463","   16"," 1965","  881","   18","12348","11008","  874","    9"," 2176"," 2532","    8"," 1205"," 1891","  666"," 1719","   63"," 1430","  211","   34","  163","   37","    8"," 1677","   12","   20"," 1812","   18","16710","   33"," 2935"," 2929","   22"," 3726"," 2449","   16","   16"," 2570"," 1690","  295","    3"," 1731"," 1718","   50","  954","  319","    7"
"map00040.Pentose.and.glucuronate.interconversions"," 1547"," 4122"," 2831"," 2658"," 1412"," 1746","  531"," 3860","95378","97623","  315","  242","  892","   26","  121","  114","  168","   68","   68","   13","    8"," 2221","   44","  121","  315"," 3773"," 3759","   32","  831"," 2670","   35","   14"," 9468"," 9460","   19"," 5866"," 2817","   29","50697","47523"," 3413","   38"," 1836"," 6218","    8"," 3565"," 3067"," 2032"," 4083","  147"," 1584","  868","  116","  473","   25","   33"," 9167","   68","   27"," 6999","   35","37574","   63"," 6373"," 6347","   47"," 7756"," 3754","   45","   17","10963"," 9156","  642","   22"," 5290"," 5253","  193"," 5270"," 3178","    9"
"map00053.Ascorbate.and.aldarate.metabolism","   710","  3472","  1056","  1749","   738","  1529","   480","  1925"," 21391"," 70004","   169","   150","   533","    28","    79","   104","    99","    57","    79","    34","    18","  1666","    44","    75","   108","  2019","  2014","    28","   674","  1405","    63","    37","  7151","  7150","    73","  3762","  2125","    23","116137","116297","  3036","     6","  1431","  3511","     8","  1808","  1945","  1243","  2443","   237","  2115","   730","   118","   414","    48","    19","  6123","   100","    46"," 20111","    56"," 45705","    57","  4156","  4150","    40","  4492","  2338","    61","    22","  9708","  7862","   362","    26","  5160","  5099","    83","  2530","  1541","    17"
"map00561.Glycerolipid.metabolism","  1398","  3086","  1559","  2057","  1558","  1588","   995","  5502","199765","270200","   565","   366","   966","    33","   177","   185","   140","   101","   134","    46","    23","  2482","    88","   171","   833","  8755","  8740","    42","  1237","  2761","   139","    50"," 16828"," 16821","    90","  4795","  2778","    35","176420","178403","  2534","    45","  2956","  5268","     9","  2283","  2412","  2077","  3545","   389","  2438","  1762","   257","   403","    87","    74","  7468","   169","    98"," 25364","    90"," 98407","   121"," 10007","  9973","    45","  8208","  5297","   125","    33"," 20313"," 16753","   866","    36","  8441","  8334","   196","  4284","  1852","    24"
"map00930.Caprolactam.degradation"," 388"," 740"," 643","1034","  43"," 354"," 161"," 863","5891","5752","  25","  19"," 284","   7","  29","  39","  43","   5","  42","  14","   1"," 347","   8","   3","  17"," 147"," 140","  13"," 109"," 514","   0","   4"," 646"," 639","   1","1322"," 364","   1","2883"," 890"," 924","   2"," 537","1268","   2"," 982","1161"," 395","1420","   9"," 282"," 140","   9"," 173","   6","   4","1818","  24","   2"," 831","   8","2516","   8","1466","1466","   0","1955"," 879","  15","  11"," 962"," 386","  85","   8"," 902"," 893","  41","1062"," 520","   6"
"map00260.Glycine..serine.and.threonine.metabolism.","  2189"," 12248","  4679","  6536","  4528","  4722","  2454"," 17651","771335","755930","  1783","   896","  1826","   106","   403","   395","   328","   304","   388","    90","    52","  4860","   281","   495","  1693"," 23179"," 23119","   167","  2815","  6321","   306","    45"," 89742"," 89709","    84"," 17698","  9464","    60","315120","312819","  8213","   134","  7561"," 13924","    40"," 10247","  8382","  5642"," 11240","   801","  5613","  3934","   889","  1103","   132","   181"," 18787","   585","   201"," 41709","   218","265112","   349"," 54841"," 54667","   205"," 27152"," 14295","   278","   197"," 49171"," 43311","  2812","    62"," 23380"," 23210","   561","  9452","  5756","    51"
"map00270.Cysteine.and.methionine.metabolism","  2564"," 14753","  4488","  9736","  3765","  4970","  2720"," 19072","562419","701400","  2004","   771","  1638","   108","   336","   425","   233","   259","   358","    76","    62","  3955","   232","   571","  1493"," 30035"," 29987","   122","  2531","  6134","   304","    46"," 64056"," 64014","   102"," 16116","  8794","    79","380074","378097","  6028","   108","  9732"," 11887","    54","  7646","  7263","  5768","  9419","   929","  4702","  3787","   725","   958","   136","   156"," 17135","   767","   150"," 33553","   196","239237","   296"," 44604"," 44471","   179"," 21804"," 13329","   330","   168"," 61583"," 56307","  3464","    69"," 18428"," 18245","   528","  8525","  4420","    44"
"map00300.Lysine.biosynthesis","  1101","  6999","  2263","  2740","  1453","  2103","  1081","  8187","330094","373633","  1028","   329","  1144","    50","   202","   192","   124","   155","   192","    33","    27","  1798","   126","   177","   763"," 14725"," 14689","    66","   998","  3199","   153","    19"," 31408"," 31376","    42","  6991","  3852","    37","165968","163568","  2751","    53","  4573","  6475","    12","  3546","  3835","  2177","  3907","   417","  1910","  1942","   392","   475","    92","    71","  6250","   235","    66"," 16219","   124","124648","   136"," 30563"," 30503","    88"," 11499","  7317","   170","    41"," 28939"," 25572","  1772","    34"," 10899"," 10817","   288","  3941","  1775","    13"
"map00650.Butanoate.metabolism","  2694"," 13247","  4989","  7837","  3481","  4291","  2618"," 18304","809966","837190","  1872","  1061","  2744","    91","   634","   556","   374","   337","   461","    87","    51","  4922","   265","   640","  2650"," 55925"," 55872","   101","  2629","  6621","   382","    67"," 84321"," 84248","    68"," 13276","  7494","   112","563678","565130","  8028","   115","  6005"," 12423","    55","  6336","  8783","  5512"," 11776","  1121","  5438","  4560","   968","  1405","   194","   220"," 15329","   774","   241"," 66772","   217","386052","   389"," 36985"," 36856","   180"," 26734"," 16572","   387","   276"," 87842"," 81466","  4232","    62"," 24116"," 23788","   609","  9245","  4959","    71"
"map00640.Propanoate.metabolism","   2547","  12732","   3927","   8128","   2167","   6062","   2209","  23939","1087192","1217367","   2192","   1344","   2482","    129","    530","    649","    436","    435","    531","     88","     37","   5556","    339","    856","   3013","  42247","  42190","    122","   2448","   6219","    473","     48","  75024","  74974","     77","  15174","   8011","    102"," 635646"," 637915","   5395","    178","   8924","  12295","     55","   7955","   7461","   3737","  11050","   1266","   7545","   5784","   1258","   1549","    227","    303","  17388","    957","    370","  78589","    303"," 559829","    453","  44374","  44186","    146","  21246","  12289","    564","    140","  54548","  48642","   4849","     80","  21312","  20982","    635","   8255","   4408","     64"
"map00564.Glycerophospholipid.metabolism","  1228","  5726","  2291","  3156","  1505","  2660","  1298","  5769","210668","218189","   536","   335","   939","    30","   199","   215","    90","    79","   186","    45","    25","  1757","    87","   130","   657","  5535","  5512","    56","  1081","  2478","    98","    27"," 25901"," 25873","    44","  6768","  3495","    38"," 94570"," 90470","  4081","    37","  3191","  7563","    23","  3019","  3524","  2666","  3865","   178","  3896","  1080","   224","   642","    49","    65","  7988","   131","    57"," 11532","    79"," 74331","   144"," 14866"," 14824","   107"," 10529","  6253","    86","    17"," 19409"," 15255","   745","    25","  9806","  9730","   305","  3925","  2321","    20"
"map00051.Fructose.and.mannose.metabolism","  1746"," 12246","  3163","  5513","  2360","  2792","  1588"," 10533","450029","473243","  1996","   563","  1479","   113","   336","   282","   197","   193","   268","    67","    43","  3737","   146","   371","  2019"," 29342"," 29315","    74","  2108","  3849","   290","    67"," 87508"," 87478","    41"," 10436","  6155","    87","311711","312624","  5635","    61","  7141","  8101","    33","  3811","  5620","  3615","  6158","   798","  3137","  3578","   592","   748","   106","   124"," 11727","   494","   145"," 26688","   128","217004","   314"," 28540"," 28456","   112"," 16149"," 11292","   257","    87"," 68563"," 63814","  2398","    35"," 17943"," 17756","   356","  6075","  3408","    34"
