"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"n-acetylaspartate","4.0906960","4.1196832","3.5040360","4.0545859","1.1392286","3.3778913","0.8894457","0.6157808","0.6929690","0.6518124","0.5631486","1.0119527","0.6825191","2.1564286","1.1990074"
"l-tryptophan"," 4.190004"," 3.621658"," 3.984739"," 4.331259","11.896218"," 3.831013"," 4.165631"," 2.632899"," 3.153878"," 4.800905"," 5.016383"," 4.238791"," 3.641172"," 3.708656","10.507956"
"l-cysteinesulfinic acid","0.04938621","0.06793578","0.07429329","0.08520313","0.12306350","0.03928908","0.12356162","0.04156533","0.09258318","0.07091514","0.04403560","0.14522236","0.04803969","0.05161721","0.16647841"
"3-methylxanthine","0.17426384","0.12011260","0.16420612","0.12395341","0.25225749","0.12329654","0.05336308","0.03251446","0.06398697","0.05585984","0.03990844","0.08980972","0.05175697","0.07870257","0.21105814"
"benzamide","0.4327071","0.4391994","0.6135272","0.3968214","0.5625664","0.4853140","0.5312676","0.3833057","0.5839606","0.5754884","0.3731997","0.6942155","0.7130992","0.5289492","0.4765170"
"glycerol","0.6557948","0.1821990","0.2255259","0.2892275","0.1779761","0.2063232","0.1566093","0.1468751","0.1625883","0.1945762","0.1421859","0.2075934","0.1267631","0.1312023","0.1882304"
"o-nitrobenzoic acid","0.06829139","0.03716215","0.04432159","0.00000000","0.04535913","0.02952001","0.03731721","0.00000000","0.00000000","0.00000000","0.00000000","0.04566095","0.00000000","0.00000000","0.03149235"
"tris(hydroxymethyl)aminomethane","1.377135","1.602879","1.640353","1.373453","2.752220","0.000000","0.000000","0.000000","0.000000","0.000000","0.000000","1.821112","0.000000","0.000000","2.076221"
"cyanuric acid","0.03454695","0.00000000","0.03099604","0.06767515","0.05371095","0.00000000","0.03103704","0.03831190","0.05046126","0.00000000","0.03590203","0.05519912","0.00000000","0.04025308","0.00000000"
