"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"K00001..E1.1.1.1..adh..alcohol.dehydrogenase..EC.1.1.1.1.","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"K00002..AKR1A1..adh..alcohol.dehydrogenase..NADP....EC.1.1.1.2.","1","1","2","0","4","0","0","3","4","0","1","4","1","2","2"
"K00003..hom..homoserine.dehydrogenase..EC.1.1.1.3.","4","3","0","2","3","1","2","0","0","2","4","2","1","4","2"
"K00004..BDH..butB...R.R..butanediol.dehydrogenase...meso.butanediol.dehydrogenase...diacetyl.reductase..EC.1.1.1.4.1.1.1...1.1.1.303.","2","1","0","1","2","0","0","0","0","1","0","0","0","0","0"
"K00005..gldA..glycerol.dehydrogenase..EC.1.1.1.6.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00006..GPD1..glycerol.3.phosphate.dehydrogenase..NAD....EC.1.1.1.8.","2","1","3","3","2","1","4","2","2","7","0","4","3","1","3"
"K00008..SORD..gutB..L.iditol.2.dehydrogenase..EC.1.1.1.14.","1","0","1","0","1","0","1","0","3","0","1","1","0","0","0"
"K00009..mtlD..mannitol.1.phosphate.5.dehydrogenase..EC.1.1.1.17.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00010..iolG..myo.inositol.2.dehydrogenase...D.chiro.inositol.1.dehydrogenase..EC.1.1.1.18.1.1.1.369.","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"K00012..UGDH..ugd..UDPglucose.6.dehydrogenase..EC.1.1.1.22."," 7"," 7"," 6"," 3","11"," 2"," 3"," 6"," 3"," 8"," 3"," 1"," 6"," 4"," 4"
"K00013..hisD..histidinol.dehydrogenase..EC.1.1.1.23.","1","1","0","0","1","0","0","0","1","0","0","0","0","0","0"
"K00014..aroE..shikimate.dehydrogenase..EC.1.1.1.25.","3","2","1","1","5","1","1","0","0","0","0","0","0","0","0"
"K00015..gyaR..GOR1..glyoxylate.reductase..EC.1.1.1.26.","0","1","1","1","0","0","0","1","0","0","0","0","0","0","0"
"K00016..LDH..ldh..L.lactate.dehydrogenase..EC.1.1.1.27.","6","5","2","1","2","3","2","6","3","3","3","5","2","0","5"
