"","sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"map00010..Glycolysis...Gluconeogenesis","map00010..Glycolysis...Gluconeogenesis","566","583","432","432","536","412","354","377","462","447","442","388","370","474","451"
"map00020..Citrate.cycle..TCA.cycle.","map00020..Citrate.cycle..TCA.cycle.","182","214","140","121","160","104","125","115","149","115","108"," 97","114","117","128"
"map00030..Pentose.phosphate.pathway","map00030..Pentose.phosphate.pathway","129","154"," 74"," 72","144"," 62"," 55"," 67"," 85"," 84"," 73"," 79"," 74"," 80"," 88"
"map00040..Pentose.and.glucuronate.interconversions","map00040..Pentose.and.glucuronate.interconversions","21","22","23","10","27","13","13","22","15","22","12","15","22","14","20"
"map00051..Fructose.and.mannose.metabolism","map00051..Fructose.and.mannose.metabolism","106","119"," 43"," 59","109"," 30"," 34"," 30"," 51"," 46"," 39"," 44"," 39"," 41"," 45"
"map00052..Galactose.metabolism","map00052..Galactose.metabolism","145","177"," 47"," 68","155"," 36"," 33"," 33"," 48"," 53"," 44"," 50"," 32"," 37"," 44"
"map00053..Ascorbate.and.aldarate.metabolism","map00053..Ascorbate.and.aldarate.metabolism","49","42","37","33","53","33","39","37","50","48","34","41","26","44","44"
"map00061..Fatty.acid.biosynthesis","map00061..Fatty.acid.biosynthesis","80","77","34","34","79","24","15","35","35","31","32","25","22","27","36"
"map00062..Fatty.acid.elongation","map00062..Fatty.acid.elongation"," 8","13"," 6"," 2"," 5"," 3"," 7"," 5"," 6","10"," 8"," 8"," 5"," 8"," 5"
"map00071..Fatty.acid.degradation","map00071..Fatty.acid.degradation","121","131"," 96","104","118"," 89","100"," 90","108","112"," 98","107"," 80"," 92","104"
"map00072..Synthesis.and.degradation.of.ketone.bodies","map00072..Synthesis.and.degradation.of.ketone.bodies","29","33","22","16","11","18","24","25","30","28","29","27","24","28","30"
"map00073..Cutin..suberine.and.wax.biosynthesis","map00073..Cutin..suberine.and.wax.biosynthesis","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"map00100..Steroid.biosynthesis","map00100..Steroid.biosynthesis","12","11"," 6"," 6"," 9","13"," 7"," 8","12"," 8","11","11"," 6","12"," 9"
"map00120..Primary.bile.acid.biosynthesis","map00120..Primary.bile.acid.biosynthesis","2","4","7","3","5","4","5","4","7","5","6","4","5","2","6"
"map00121..Secondary.bile.acid.biosynthesis","map00121..Secondary.bile.acid.biosynthesis","1","1","1","0","2","0","1","0","1","1","0","0","0","2","0"
"map00130..Ubiquinone.and.other.terpenoid.quinone.biosynthesis","map00130..Ubiquinone.and.other.terpenoid.quinone.biosynthesis","31","45","13","11","45"," 6","10","11","13","20","15"," 8"," 7","14","14"
"map00140..Steroid.hormone.biosynthesis","map00140..Steroid.hormone.biosynthesis","4","1","2","1","0","3","2","6","0","3","0","0","2","3","1"
"map00190..Oxidative.phosphorylation","map00190..Oxidative.phosphorylation","557","674","512","433","476","672","536","522","706","656","750","542","437","614","503"
"map00195..Photosynthesis","map00195..Photosynthesis","47","38","17","19","41","19","11","12","14","23","16","14","17","10","21"
"map00220..Arginine.biosynthesis","map00220..Arginine.biosynthesis","54","59","19","25","46","24","18","18","36","15","27","30","20","21","24"
"map00230..Purine.metabolism","map00230..Purine.metabolism","294","341","133","172","295","118","125"," 98","120","161","134","133","111","130","136"
"map00232..Caffeine.metabolism","map00232..Caffeine.metabolism"," 2"," 5"," 1"," 5"," 4"," 3","10"," 2"," 2","10"," 8"," 1"," 6"," 8"," 2"
"map00240..Pyrimidine.metabolism","map00240..Pyrimidine.metabolism","208","242"," 65","100","203"," 79"," 76"," 53"," 80"," 92"," 82"," 70"," 80"," 61"," 71"
"map00250..Alanine..aspartate.and.glutamate.metabolism","map00250..Alanine..aspartate.and.glutamate.metabolism","151","167"," 61"," 84","162"," 73"," 54"," 62"," 79"," 71"," 67"," 63"," 52"," 55"," 80"
"map00254..Aflatoxin.biosynthesis","map00254..Aflatoxin.biosynthesis","22","14","20","15","17","14","12","22","18","15","21","16"," 9","18","19"
"map00260..Glycine..serine.and.threonine.metabolism","map00260..Glycine..serine.and.threonine.metabolism","118","163"," 72"," 80","147"," 60"," 52"," 62"," 64"," 84"," 67"," 66"," 53"," 65"," 63"
"map00261..Monobactam.biosynthesis","map00261..Monobactam.biosynthesis","20","30"," 3"," 3","30"," 0"," 3"," 1"," 3"," 4"," 2"," 3"," 2"," 2"," 2"
"map00270..Cysteine.and.methionine.metabolism","map00270..Cysteine.and.methionine.metabolism","197","249","106","117","187"," 93"," 87"," 75","103","107"," 97"," 93"," 81"," 90","104"
"map00280..Valine..leucine.and.isoleucine.degradation","map00280..Valine..leucine.and.isoleucine.degradation","159","177","154","132","155","137","165","128","171","144","156","149","130","151","159"
"map00281..Geraniol.degradation","map00281..Geraniol.degradation","29","29","17","21","13","22","22","15","27","26","20","24","25","27","22"
"map00290..Valine..leucine.and.isoleucine.biosynthesis","map00290..Valine..leucine.and.isoleucine.biosynthesis","26","26"," 9","13","32"," 9"," 8"," 7"," 4"," 7"," 6"," 3"," 6"," 6"," 4"
"map00300..Lysine.biosynthesis","map00300..Lysine.biosynthesis","51","63"," 7","14","73"," 3","13","11"," 8","15","15"," 8","13"," 7"," 7"
"map00310..Lysine.degradation","map00310..Lysine.degradation","83","96","74","59","86","67","74","60","92","77","86","70","51","77","83"
"map00311..Penicillin.and.cephalosporin.biosynthesis","map00311..Penicillin.and.cephalosporin.biosynthesis","5","8","6","2","1","3","5","3","2","6","1","1","2","3","2"
"map00330..Arginine.and.proline.metabolism","map00330..Arginine.and.proline.metabolism","100","109"," 69"," 71"," 83"," 67"," 65"," 58"," 78"," 70"," 73"," 61"," 53"," 72"," 77"
"map00332..Carbapenem.biosynthesis","map00332..Carbapenem.biosynthesis","7","4","0","2","4","2","1","0","0","0","1","1","0","0","0"
"map00333..Prodigiosin.biosynthesis","map00333..Prodigiosin.biosynthesis","15","16"," 2"," 5","13"," 1"," 0"," 2"," 5"," 4"," 3"," 4"," 4"," 1"," 3"
"map00340..Histidine.metabolism","map00340..Histidine.metabolism","65","60","39","48","67","48","49","39","61","40","47","38","42","48","48"
"map00350..Tyrosine.metabolism","map00350..Tyrosine.metabolism","54","72","35","34","42","34","32","34","31","35","49","38","29","24","39"
