"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"M00001..Glycolysis..Embden.Meyerhof.pathway...glucose....pyruvate"," 9267"," 2285"," 7135"," 6828"," 8156"," 4534"," 6625"," 6201","19303","15638","11804","12365","11485"," 9255"," 7059"
"M00002..Glycolysis..core.module.involving.three.carbon.compounds"," 6874"," 1664"," 5014"," 5030"," 5706"," 3084"," 4478"," 4458","13341","10505"," 7999"," 8265"," 8770"," 6202"," 4777"
"M00003..Gluconeogenesis..oxaloacetate....fructose.6P"," 7058"," 1777"," 5506"," 5168"," 5944"," 3354"," 4792"," 4765","14092","11349"," 8780"," 8763"," 8962"," 6683"," 5033"
"M00004..Pentose.phosphate.pathway..Pentose.phosphate.cycle.","3819"," 980","3048","2751","4091","2051","2911","2381","9280","6699","5290","5762","4366","4072","3189"
"M00005..PRPP.biosynthesis..ribose.5P....PRPP","260"," 69","140","182","236","188","265","210","787","669","480","515","298","388","318"
"M00006..Pentose.phosphate.pathway..oxidative.phase..glucose.6P....ribulose.5P","1466"," 355"," 906","1027","1616"," 682"," 972"," 752","3493","2258","1765","1898","1624","1274","1109"
"M00007..Pentose.phosphate.pathway..non.oxidative.phase..fructose.6P....ribose.5P"," 971"," 268"," 813"," 735","1083"," 529"," 704"," 616","2338","1592","1343","1351","1149","1016"," 759"
"M00008..Entner.Doudoroff.pathway..glucose.6P....glyceraldehyde.3P...pyruvate"," 492"," 130"," 385"," 346"," 610"," 281"," 387"," 278","1184"," 979"," 760"," 770"," 554"," 614"," 472"
"M00009..Citrate.cycle..TCA.cycle..Krebs.cycle."," 7430"," 1820"," 4897"," 5098"," 7543"," 4633"," 7126"," 6109","18943","16138","12008","13331"," 8174"," 9739"," 7466"
"M00010..Citrate.cycle..first.carbon.oxidation..oxaloacetate....2.oxoglutarate","3522"," 896","2328","2338","3397","2147","3243","2841","8633","7272","5500","5862","3881","4409","3404"
"M00011..Citrate.cycle..second.carbon.oxidation..2.oxoglutarate....oxaloacetate"," 3908","  924"," 2569"," 2760"," 4146"," 2486"," 3883"," 3268","10310"," 8866"," 6508"," 7469"," 4293"," 5330"," 4062"
"M00012..Glyoxylate.cycle","2752"," 688","1723","1914","2665","1479","2333","2189","6575","5531","4067","4420","2926","3191","2565"
"M00013..Malonate.semialdehyde.pathway..propanoyl.CoA....acetyl.CoA"," 507"," 151"," 462"," 366"," 700"," 422"," 617"," 407","1632","1403","1124","1191"," 553"," 873"," 715"
"M00014..Glucuronate.pathway..uronate.pathway.","1799"," 752","1998","1448","2782","2480","3083","2466","7479","6381","5065","5240","1878","3888","2802"
"M00015..Proline.biosynthesis..glutamate....proline"," 62","  9"," 27"," 22"," 51"," 28"," 50"," 34","122","115"," 73"," 78"," 88"," 57"," 41"
"M00016..Lysine.biosynthesis..succinyl.DAP.pathway..aspartate....lysine","23"," 8","14","11","38","13","22"," 7","42","30","24","30","21","30","24"
"M00017..Methionine.biosynthesis..apartate....homoserine....methionine","131"," 30"," 65","118","147"," 89","129","107","404","327","275","316","152","242","189"
"M00018..Threonine.biosynthesis..aspartate....homoserine....threonine"," 7"," 1"," 7"," 7","21"," 8"," 8"," 8","17","23","25","14","11"," 9"," 6"
"M00019..Valine.isoleucine.biosynthesis..pyruvate....valine...2.oxobutanoate....isoleucine"," 54"," 11"," 42"," 44"," 46"," 29"," 50"," 35","137","104"," 85"," 95"," 67"," 70"," 45"
"M00020..Serine.biosynthesis..glycerate.3P....serine","260"," 80","252","254","336","141","245","202","558","488","408","363","314","297","245"
"M00021..Cysteine.biosynthesis..serine....cysteine"," 5"," 3"," 3"," 4","22"," 8"," 4"," 2","22"," 8","22","12"," 4"," 7"," 7"
"M00022..Shikimate.pathway..phosphoenolpyruvate...erythrose.4P....chorismate","13"," 2"," 5","10","10"," 6"," 8"," 9","14","19","18","16"," 9","13","11"
"M00023..Tryptophan.biosynthesis..chorismate....tryptophan","3","1","1","0","2","4","1","2","6","3","0","6","0","1","0"
"M00024..Phenylalanine.biosynthesis..chorismate....phenylpyruvate....phenylalanine","10"," 1"," 7"," 4","14"," 2"," 9"," 7","26","10","11","22","12"," 7"," 7"
"M00025..Tyrosine.biosynthesis..chorismate....HPP....tyrosine","10"," 1"," 7"," 4","13"," 3"," 9"," 7","26","10","11","22","12"," 7"," 7"
"M00026..Histidine.biosynthesis..PRPP....histidine"," 6"," 3"," 9"," 3","15"," 3"," 4"," 7"," 9"," 5"," 9"," 4"," 3"," 5"," 3"
"M00027..GABA..gamma.Aminobutyrate..shunt"," 44"," 13"," 59"," 43"," 54"," 53"," 46"," 46","158","139","135","117"," 54","110"," 80"
"M00028..Ornithine.biosynthesis..glutamate....ornithine","16"," 7"," 7","11","19"," 9","12","13","36","21","29","32","13","15","13"
"M00029..Urea.cycle","333"," 80","324","261","318","112","219","141","609","509","432","373","374","304","216"
"M00030..Lysine.biosynthesis..AAA.pathway..2.oxoglutarate....2.aminoadipate....lysine"," 61"," 19"," 37"," 50"," 70"," 53"," 46"," 72","172","162","113"," 92"," 73"," 94"," 79"
"M00031..Lysine.biosynthesis..mediated.by.LysW..2.aminoadipate....lysine","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"M00032..Lysine.degradation..lysine....saccharopine....acetoacetyl.CoA"," 628"," 114"," 411"," 452"," 643"," 321"," 589"," 487","1566","1343"," 946","1146"," 667"," 799"," 617"
"M00033..Ectoine.biosynthesis..aspartate....ectoine","0","0","2","2","7","0","3","0","0","1","1","0","0","0","0"
