"sample","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15"
"Innoculation","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","MOC_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","PBS_Lung","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral","MOC_Oral"
"K00001..E1.1.1.1..adh..alcohol.dehydrogenase..EC.1.1.1.1.","0","0","3","0","0","1","0","0","0","0","0","0","0","0","0"
"K00002..AKR1A1..adh..alcohol.dehydrogenase..NADP....EC.1.1.1.2."," 538"," 140"," 492"," 409"," 583"," 323"," 472"," 361","1203","1052"," 824"," 786"," 557"," 692"," 487"
"K00003..hom..homoserine.dehydrogenase..EC.1.1.1.3.","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00004..BDH..butB...R.R..butanediol.dehydrogenase...meso.butanediol.dehydrogenase...diacetyl.reductase..EC.1.1.1.4.1.1.1...1.1.1.303.","0","0","3","1","0","0","3","1","6","1","4","7","0","0","3"
"K00005..gldA..glycerol.dehydrogenase..EC.1.1.1.6.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"K00006..GPD1..glycerol.3.phosphate.dehydrogenase..NAD....EC.1.1.1.8."," 78"," 22"," 54"," 65","102"," 66"," 89"," 81","227","165","172","167"," 76","114"," 72"
"K00008..SORD..gutB..L.iditol.2.dehydrogenase..EC.1.1.1.14."," 55"," 11"," 55"," 43"," 59"," 34"," 68"," 37","142","112","120","103"," 44"," 61"," 72"
"K00009..mtlD..mannitol.1.phosphate.5.dehydrogenase..EC.1.1.1.17.","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0"
"K00010..iolG..myo.inositol.2.dehydrogenase...D.chiro.inositol.1.dehydrogenase..EC.1.1.1.18.1.1.1.369.","1","0","2","1","0","2","0","4","2","2","0","5","2","2","1"
"K00011..AKR1B..aldehyde.reductase..EC.1.1.1.21."," 6"," 1"," 6"," 9"," 9"," 2"," 5","11","17","14","19"," 9"," 7","12"," 4"
"K00012..UGDH..ugd..UDPglucose.6.dehydrogenase..EC.1.1.1.22.","173"," 57","107","137","158"," 78","161","126","592","432","240","296","232","198","189"
"K00013..hisD..histidinol.dehydrogenase..EC.1.1.1.23.","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0"
"K00014..aroE..shikimate.dehydrogenase..EC.1.1.1.25."," 2"," 0"," 3"," 3"," 4"," 1"," 2"," 1"," 2"," 7","10"," 3"," 0"," 4"," 0"
"K00015..gyaR..GOR1..glyoxylate.reductase..EC.1.1.1.26.","14"," 5","29","14","24","20","27","21","45","33","31","40","16","32","20"
"K00016..LDH..ldh..L.lactate.dehydrogenase..EC.1.1.1.27.","291"," 64","157","227","306","184","259","259","723","642","370","422","302","343","255"
"K00018..hprA..glycerate.dehydrogenase..EC.1.1.1.29.","13"," 6","10","13","17"," 6","13"," 5","43","30","33","33","11","20","15"
"K00019..E1.1.1.30..bdh..3.hydroxybutyrate.dehydrogenase..EC.1.1.1.30."," 7"," 4"," 8"," 4","14"," 6","10"," 9","28","40","25","33","10","36","17"
"K00020..HIBADH..mmsB..3.hydroxyisobutyrate.dehydrogenase..EC.1.1.1.31.","113"," 31"," 81"," 81","118"," 52","104"," 74","250","234","174","175"," 89","123"," 98"
"K00021..HMGCR..hydroxymethylglutaryl.CoA.reductase..NADPH...EC.1.1.1.34.","238"," 42"," 74","196","209"," 82","123","109","453","321","242","259","171","157","136"
"K00022..HADH..3.hydroxyacyl.CoA.dehydrogenase..EC.1.1.1.35."," 68"," 17"," 46"," 59"," 88"," 36"," 84"," 65","195","144","113","129"," 85","100"," 75"
"K00023..phbB..acetoacetyl.CoA.reductase..EC.1.1.1.36.","1","0","2","1","1","0","0","1","4","4","0","1","0","0","0"
"K00024..mdh..malate.dehydrogenase..EC.1.1.1.37.","280"," 80","185","197","243","133","254","258","690","559","398","437","289","301","250"
"K00026..MDH2..malate.dehydrogenase..EC.1.1.1.37.","251"," 37","155","214","244","155","208","202","582","507","411","425","301","263","235"
"K00027..ME2..sfcA..maeA..malate.dehydrogenase..oxaloacetate.decarboxylating...EC.1.1.1.38.","116"," 20"," 52"," 56","121"," 60"," 84"," 57","304","153","137","155"," 97","104"," 75"
"K00029..E1.1.1.40..maeB..malate.dehydrogenase..oxaloacetate.decarboxylating..NADP....EC.1.1.1.40.","207"," 46","125"," 92","177"," 98","156","145","493","346","259","316","172","193","169"
